DATE,STREET1,STREET2,DISTRICT,LATITUDE,LONGITUDE,VISIBILITY,LIGHT,ROAD_CONDITION,ACCLASS,INJURY,FATAL_NO,HOOD_158,NEIGHBOURHOOD_158,DOW,HOUR,YEAR,MONTH,SEVERE_COLLISION,TIME_OF_DAY,SEASON
2006-01-01,WOODBINE AVE,O CONNOR DR,Toronto and East York,43.699595,-79.318797,Clear,Dark,Wet,Non-Fatal Injury,Major,0.0,60,Woodbine-Lumsden,Sunday,2,2006,1,1,Late Night,Winter
2006-01-01,WOODBINE AVE,O CONNOR DR,Toronto and East York,43.699595,-79.318797,Clear,Dark,Wet,Non-Fatal Injury,Minor,0.0,60,Woodbine-Lumsden,Sunday,2,2006,1,0,Late Night,Winter
2006-01-01,WOODBINE AVE,O CONNOR DR,Toronto and East York,43.699595,-79.318797,Clear,Dark,Wet,Non-Fatal Injury,Minor,0.0,60,Woodbine-Lumsden,Sunday,2,2006,1,0,Late Night,Winter
2006-01-01,WOODBINE AVE,O CONNOR DR,Toronto and East York,43.699595,-79.318797,Clear,Dark,Wet,Non-Fatal Injury,Minor,0.0,60,Woodbine-Lumsden,Sunday,2,2006,1,0,Late Night,Winter
2006-01-01,WOODBINE AVE,O CONNOR DR,Toronto and East York,43.699595,-79.318797,Clear,Dark,Wet,Non-Fatal Injury,Minor,0.0,60,Woodbine-Lumsden,Sunday,2,2006,1,0,Late Night,Winter
2006-01-01,WOODBINE AVE,O CONNOR DR,Toronto and East York,43.699595,-79.318797,Clear,Dark,Wet,Non-Fatal Injury,Minor,0.0,60,Woodbine-Lumsden,Sunday,2,2006,1,0,Late Night,Winter
2006-01-01,WOODBINE AVE,O CONNOR DR,Toronto and East York,43.699595,-79.318797,Clear,Dark,Wet,Non-Fatal Injury,Minimal,0.0,60,Woodbine-Lumsden,Sunday,2,2006,1,0,Late Night,Winter
2006-01-01,WOODBINE AVE,O CONNOR DR,Toronto and East York,43.699595,-79.318797,Clear,Dark,Wet,Non-Fatal Injury,Minimal,0.0,60,Woodbine-Lumsden,Sunday,2,2006,1,0,Late Night,Winter
2006-01-01,DANFORTH AVE,WEST LYNN AVE,Toronto and East York,43.684874,-79.316188,Snow,Dark,Snow_Ice,Non-Fatal Injury,Minor,0.0,64,Woodbine Corridor,Sunday,3,2006,1,0,Late Night,Winter
2006-01-01,DANFORTH AVE,WEST LYNN AVE,Toronto and East York,43.684874,-79.316188,Snow,Dark,Snow_Ice,Non-Fatal Injury,Major,0.0,64,Woodbine Corridor,Sunday,3,2006,1,1,Late Night,Winter
2006-01-01,DANFORTH AVE,WEST LYNN AVE,Toronto and East York,43.684874,-79.316188,Snow,Dark,Snow_Ice,Non-Fatal Injury,Minor,0.0,64,Woodbine Corridor,Sunday,3,2006,1,0,Late Night,Winter
2006-01-01,DANFORTH AVE,WEST LYNN AVE,Toronto and East York,43.684874,-79.316188,Snow,Dark,Snow_Ice,Non-Fatal Injury,Minimal,0.0,64,Woodbine Corridor,Sunday,3,2006,1,0,Late Night,Winter
2006-01-01,DANFORTH AVE,WEST LYNN AVE,Toronto and East York,43.684874,-79.316188,Snow,Dark,Snow_Ice,Non-Fatal Injury,Minimal,0.0,64,Woodbine Corridor,Sunday,3,2006,1,0,Late Night,Winter
2006-01-02,BATHURST ST,DUNDAS ST W,Toronto and East York,43.652892,-79.406253,Clear,Dark,Wet,Non-Fatal Injury,Minimal,0.0,78,Kensington-Chinatown,Monday,7,2006,1,0,Late Night,Winter
2006-01-02,BATHURST ST,DUNDAS ST W,Toronto and East York,43.652892,-79.406253,Clear,Dark,Wet,Non-Fatal Injury,Major,0.0,78,Kensington-Chinatown,Monday,7,2006,1,1,Late Night,Winter
2006-01-04,DUFFERIN ST,SYLVAN AVE,Toronto and East York,43.655145,-79.43359,Rain,Dark,Wet,Non-Fatal Injury,Minimal,0.0,83,Dufferin Grove,Wednesday,19,2006,1,0,Night,Winter
2006-01-04,DUFFERIN ST,SYLVAN AVE,Toronto and East York,43.655145,-79.43359,Rain,Dark,Wet,Non-Fatal Injury,Major,0.0,83,Dufferin Grove,Wednesday,19,2006,1,1,Night,Winter
2006-01-06,DON MILLS RD,LEITH HILL RD,North York,43.777056,-79.347858,Clear,Dark,Dry,Non-Fatal Injury,Minimal,0.0,47,Don Valley Village,Friday,22,2006,1,0,Night,Winter
2006-01-06,DON MILLS RD,LEITH HILL RD,North York,43.777056,-79.347858,Clear,Dark,Dry,Non-Fatal Injury,Major,0.0,47,Don Valley Village,Friday,22,2006,1,1,Night,Winter
2006-01-07,STEELES AVE E,NINTH LINE ST,Scarborough,43.842745,-79.22479,Clear,Dark,Wet,Fatal,Fatal,0.0,144,Morningside Heights,Saturday,23,2006,1,1,Night,Winter
2006-01-07,STEELES AVE E,NINTH LINE ST,Scarborough,43.842745,-79.22479,Clear,Dark,Wet,Fatal,Minimal,0.0,144,Morningside Heights,Saturday,23,2006,1,1,Night,Winter
2006-01-07,STEELES AVE E,NINTH LINE ST,Scarborough,43.842745,-79.22479,Clear,Dark,Wet,Fatal,Major,0.0,144,Morningside Heights,Saturday,23,2006,1,1,Night,Winter
2006-01-08,PARLIAMENT ST,FRONT ST E,Toronto and East York,43.651496,-79.362697,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,0.0,166,St Lawrence-East Bayfront-The Islands,Sunday,15,2006,1,0,Evening,Winter
2006-01-08,PARLIAMENT ST,FRONT ST E,Toronto and East York,43.651496,-79.362697,Clear,Daylight,Dry,Non-Fatal Injury,Major,0.0,166,St Lawrence-East Bayfront-The Islands,Sunday,15,2006,1,1,Evening,Winter
2006-01-08,PARLIAMENT ST,FRONT ST E,Toronto and East York,43.651496,-79.362697,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,0.0,166,St Lawrence-East Bayfront-The Islands,Sunday,15,2006,1,0,Evening,Winter
2006-01-08,PARLIAMENT ST,FRONT ST E,Toronto and East York,43.651496,-79.362697,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,0.0,166,St Lawrence-East Bayfront-The Islands,Sunday,15,2006,1,0,Evening,Winter
2006-01-08,ISLINGTON AVE,GOLFDOWN DR,Etobicoke York,43.721445,-79.55809,Clear,Dark,Dry,Fatal,Minimal,0.0,5,Elms-Old Rexdale,Sunday,18,2006,1,1,Evening,Winter
2006-01-08,ISLINGTON AVE,GOLFDOWN DR,Etobicoke York,43.721445,-79.55809,Clear,Dark,Dry,Fatal,Minimal,0.0,5,Elms-Old Rexdale,Sunday,18,2006,1,1,Evening,Winter
2006-01-08,ISLINGTON AVE,GOLFDOWN DR,Etobicoke York,43.721445,-79.55809,Clear,Dark,Dry,Fatal,Minimal,0.0,5,Elms-Old Rexdale,Sunday,18,2006,1,1,Evening,Winter
2006-01-08,ISLINGTON AVE,GOLFDOWN DR,Etobicoke York,43.721445,-79.55809,Clear,Dark,Dry,Fatal,Minimal,0.0,5,Elms-Old Rexdale,Sunday,18,2006,1,1,Evening,Winter
2006-01-08,ISLINGTON AVE,GOLFDOWN DR,Etobicoke York,43.721445,-79.55809,Clear,Dark,Dry,Fatal,Minimal,0.0,5,Elms-Old Rexdale,Sunday,18,2006,1,1,Evening,Winter
2006-01-08,ISLINGTON AVE,GOLFDOWN DR,Etobicoke York,43.721445,-79.55809,Clear,Dark,Dry,Fatal,Fatal,0.0,5,Elms-Old Rexdale,Sunday,18,2006,1,1,Evening,Winter
2006-01-09,KENNEDY RD,GLAMORGAN AVE,Scarborough,43.769445,-79.28229,Clear,Daylight,Dry,Fatal,Minimal,0.0,126,Dorset Park,Monday,14,2006,1,1,Evening,Winter
2006-01-09,KENNEDY RD,GLAMORGAN AVE,Scarborough,43.769445,-79.28229,Clear,Daylight,Dry,Fatal,Minimal,0.0,126,Dorset Park,Monday,14,2006,1,1,Evening,Winter
2006-01-09,KENNEDY RD,GLAMORGAN AVE,Scarborough,43.769445,-79.28229,Clear,Daylight,Dry,Fatal,Fatal,0.0,126,Dorset Park,Monday,14,2006,1,1,Evening,Winter
2006-01-09,FINCH AVE E,MIDDLEFIELD RD,Scarborough,43.809817,-79.257663,Clear,Dark,Dry,Non-Fatal Injury,Minimal,0.0,129,Agincourt North,Monday,18,2006,1,0,Evening,Winter
2006-01-09,FINCH AVE E,MIDDLEFIELD RD,Scarborough,43.809817,-79.257663,Clear,Dark,Dry,Non-Fatal Injury,Minimal,0.0,129,Agincourt North,Monday,18,2006,1,0,Evening,Winter
2006-01-09,FINCH AVE E,MIDDLEFIELD RD,Scarborough,43.809817,-79.257663,Clear,Dark,Dry,Non-Fatal Injury,Major,0.0,129,Agincourt North,Monday,18,2006,1,1,Evening,Winter
2006-01-10,BRIMLEY RD,GULLY DR,Scarborough,43.743645,-79.25129,Clear,Daylight,Dry,Non-Fatal Injury,Minor,0.0,157,Bendale South,Tuesday,8,2006,1,0,Morning_Afternoon,Winter
2006-01-10,BRIMLEY RD,GULLY DR,Scarborough,43.743645,-79.25129,Clear,Daylight,Dry,Non-Fatal Injury,Major,0.0,157,Bendale South,Tuesday,8,2006,1,1,Morning_Afternoon,Winter
2006-01-11,BARTLEY DR,JINNAH CRT,North York,43.722045,-79.30799,Clear,Daylight,Wet,Fatal,Minimal,0.0,43,Victoria Village,Wednesday,11,2006,1,1,Morning_Afternoon,Winter
2006-01-11,BARTLEY DR,JINNAH CRT,North York,43.722045,-79.30799,Clear,Daylight,Wet,Fatal,Minimal,0.0,43,Victoria Village,Wednesday,11,2006,1,1,Morning_Afternoon,Winter
2006-01-11,BARTLEY DR,JINNAH CRT,North York,43.722045,-79.30799,Clear,Daylight,Wet,Fatal,Fatal,0.0,43,Victoria Village,Wednesday,11,2006,1,1,Morning_Afternoon,Winter
2006-01-11,BARTLEY DR,JINNAH CRT,North York,43.722045,-79.30799,Clear,Daylight,Wet,Fatal,Minimal,0.0,43,Victoria Village,Wednesday,11,2006,1,1,Morning_Afternoon,Winter
2006-01-11,BARTLEY DR,JINNAH CRT,North York,43.722045,-79.30799,Clear,Daylight,Wet,Fatal,Major,0.0,43,Victoria Village,Wednesday,11,2006,1,1,Morning_Afternoon,Winter
2006-01-11,BARTLEY DR,JINNAH CRT,North York,43.722045,-79.30799,Clear,Daylight,Wet,Fatal,Minimal,0.0,43,Victoria Village,Wednesday,11,2006,1,1,Morning_Afternoon,Winter
2006-01-14,WESTON RD,CORONADO CRT,Etobicoke York,43.741045,-79.53989,Rain,Daylight,Snow_Ice,Non-Fatal Injury,Minimal,0.0,22,Humbermede,Saturday,9,2006,1,0,Morning_Afternoon,Winter
2006-01-14,WESTON RD,CORONADO CRT,Etobicoke York,43.741045,-79.53989,Rain,Daylight,Snow_Ice,Non-Fatal Injury,Minimal,0.0,22,Humbermede,Saturday,9,2006,1,0,Morning_Afternoon,Winter
2006-01-14,WESTON RD,CORONADO CRT,Etobicoke York,43.741045,-79.53989,Rain,Daylight,Snow_Ice,Non-Fatal Injury,Major,0.0,22,Humbermede,Saturday,9,2006,1,1,Morning_Afternoon,Winter
